subject	predicate	object	notes	url
CHEMBL.COMPOUND:CHEMBL2108505	skos:relatedMatch	MESH:D043322	"Not exactly the same thing (MESH:D043322 is in the same clique as Tilactase, which is a synthetic lactase), but close enough."	https://github.com/NCATSTranslator/Feedback/issues/833
UNII:E211KPY694	skos:closeMatch	UMLS:C0006050	“botulinum toxin type A” in UMLS	https://github.com/NCATSTranslator/Feedback/issues/395#issuecomment-2225798922
UNII:E211KPY694	skos:closeMatch	UMLS:C5235582	“Botulinum Toxin Type A1” in UMLS	https://github.com/NCATSTranslator/Feedback/issues/395#issuecomment-2225798922
UNII:E211KPY694	skos:closeMatch	UMLS:C5235583	“Botulinum Toxin Type A3” in UMLS	https://github.com/NCATSTranslator/Feedback/issues/395#issuecomment-2225798922
UNII:E211KPY694	skos:closeMatch	UMLS:C5235584	“Botulinum Toxin Type A4” in UMLS	https://github.com/NCATSTranslator/Feedback/issues/395#issuecomment-2225798922
UNII:E211KPY694	skos:closeMatch	UMLS:C5235585	“Botulinum Toxin Type A5” in UMLS	https://github.com/NCATSTranslator/Feedback/issues/395#issuecomment-2225798922
UNII:E211KPY694	skos:closeMatch	UMLS:C5235586	“Botulinum Toxin Type A6” in UMLS	https://github.com/NCATSTranslator/Feedback/issues/395#issuecomment-2225798922
UNII:E211KPY694	skos:closeMatch	UMLS:C5235587	“Botulinum Toxin Type A7” in UMLS	https://github.com/NCATSTranslator/Feedback/issues/395#issuecomment-2225798922
UNII:P188ANX8CK	skos:exactMatch	CHEMBL.COMPOUND:CHEMBL1201585	"They should be combined, but they’re not — we can temporarily fix it in DrugChemical conflation, but we should figure out a comprehensive solution to this."	https://github.com/TranslatorSRI/Babel/issues/223
MESH:D007252	skos:exactMatch	CHEMBL.COMPOUND:CHEMBL2109042	"They should be combined, but they’re not — we can temporarily fix it in DrugChemical conflation, but we should figure out a comprehensive solution to this."	https://github.com/NCATSTranslator/Feedback/issues/612||https://github.com/TranslatorSRI/Babel/issues/234
MESH:C415772	skos:exactMatch	CHEMBL.COMPOUND:CHEMBL2108230	"They should be combined, but they’re not — we can temporarily fix it in DrugChemical conflation, but we should figure out a comprehensive solution to this."	https://github.com/TranslatorSRI/NodeNormalization/issues/224
UNII:A1ED6W905I	skos:exactMatch	CHEMBL.COMPOUND:CHEMBL2108230	"They should be combined, but they’re not — we can temporarily fix it in DrugChemical conflation, but we should figure out a comprehensive solution to this."	https://github.com/TranslatorSRI/NodeNormalization/issues/224
UNII:XX73205DH5	skos:exactMatch	CHEMBL.COMPOUND:CHEMBL2367706	"They should be combined, but they’re not — we can temporarily fix it in DrugChemical conflation, but we should figure out a comprehensive solution to this."	https://github.com/TranslatorSRI/Babel/issues/230
CHEBI:5931	skos:exactMatch	PUBCHEM.COMPOUND:70678557	Both “Insulin”	https://github.com/TranslatorSRI/Babel/issues/327
CHEBI:5931	skos:exactMatch	DRUGBANK:DB00030	Insulin and “Insulin human”	https://github.com/TranslatorSRI/Babel/issues/327
CHEBI:5931	skos:exactMatch	UNII:GFX7QIS1II	"Insulin and ""Insulin lispro"""	https://github.com/TranslatorSRI/Babel/issues/327
CHEBI:5931	skos:exactMatch	UNII:2ZM8CX04RZ	"Insulin and ""Insulin glargine"""	https://github.com/TranslatorSRI/Babel/issues/327
CHEBI:5931	skos:exactMatch	DRUGBANK:DB18001	"Insulin and ""Neutral Protamine Hagedorn (NPH) insulin"""	https://github.com/TranslatorSRI/Babel/issues/327
CHEBI:5931	skos:exactMatch	UNII:D933668QVX	"Insulin and ""Insulin aspart"""	https://github.com/TranslatorSRI/Babel/issues/327
CHEBI:5931	skos:exactMatch	UNII:AVT680JB39	"Insulin and ""Insulin pork"""	https://github.com/TranslatorSRI/Babel/issues/327
CHEBI:5931	skos:exactMatch	UNII:54Q18076QB	"Insulin and “Insulin degludec"""	https://github.com/TranslatorSRI/Babel/issues/327
CHEBI:5931	skos:exactMatch	UNII:4FT78T86XV	"Insulin and ""Insulin detemir"""	https://github.com/TranslatorSRI/Babel/issues/327
CHEBI:5931	skos:exactMatch	UNII:7XIY785AZD	"Insulin and ""Insulin glulisine”"	https://github.com/TranslatorSRI/Babel/issues/327
CHEBI:5931	skos:exactMatch	CHEBI:228608	"Insulin and ""Insulin beef”"	https://github.com/TranslatorSRI/Babel/issues/327
CHEBI:5931	skos:exactMatch	UNII:54Q18076QB	"Insulin and ""Insulin degludec"""	https://github.com/TranslatorSRI/Babel/issues/327
CHEBI:4672	skos:relatedMatch	CHEBI:59809	"CHEBI:4672 “Docetaxel” and CHEBI:59809 “Docetaxel trihydrate” are apparently medically similar, and we appear to have split clique issues"	https://github.com/TranslatorSRI/NameResolution/issues/99
CHEBI:136034	skos:relatedMatch	HMDB:HMDB0254418	"Not sure why these aren’t combining, or where the latter is even coming from really."	https://github.com/TranslatorSRI/Babel/issues/358